headword,pos,topic,confidence,rawTopic
conserve,verb,nature,0.920,nature
consider,verb,general,0.920,general
considerable,adjective,general,1.000,general
considerably,adverb,general,1.000,general
consideration,noun,general,0.450,feelings
considering,conjunction,general,1.000,general
considering,preposition,general,1.000,general
consign,verb,business,0.990,business
consignment,noun,business,1.000,business
consist,verb,general,0.990,general
consistent,adjective,general,0.850,general
consolation,noun,feelings,1.000,feelings
console,verb,feelings,0.950,feelings
consonant,noun,communication,1.000,communication
constant,adjective,general,0.990,general
constantly,adverb,general,1.000,general
consternation,noun,feelings,1.000,feelings
constitute,verb,general,0.830,general
constitution,noun,society,0.990,society
constrained,adjective,general,0.970,general
constraint,noun,general,0.880,general
construct,verb,general,0.700,general
construction,noun,city,0.760,city
consult,verb,communication,0.590,communication
consultancy,noun,work,0.510,work
consultant,noun,work,0.980,work
consultation,noun,communication,0.610,communication
consume,verb,food,0.780,food
consumer,noun,business,0.620,business
consumption,noun,general,0.480,business
contact,noun,communication,0.940,communication
contact,verb,communication,0.990,communication
contagion,noun,health,1.000,health
contain,verb,general,0.980,general
container,noun,home,0.640,home
contaminate,verb,nature,0.670,nature
contemporary,adjective,general,0.950,general
contempt,noun,feelings,1.000,feelings
contemptuous,adjective,feelings,1.000,feelings
contemptuously,adverb,feelings,0.860,feelings
content,adjective,feelings,0.930,feelings
content,noun,communication,0.770,communication
contest,noun,sports,0.880,sports
contest,verb,general,0.330,society
contested,adjective,society,0.650,society
context,noun,communication,0.870,communication
contextual,adjective,communication,0.530,communication
contextually,adverb,general,0.470,communication
continent,noun,city,0.690,city
continual,adjective,general,1.000,general
continually,adverb,general,1.000,general
continue,verb,general,1.000,general
continuity,noun,general,0.860,general
continuous,adjective,general,1.000,general
continuously,adverb,general,1.000,general
contract,noun,business,0.870,business
contract,verb,business,0.520,business
contractor,noun,work,0.910,work
contractual,adjective,business,0.700,business
contractually,adverb,business,0.520,business
contradict,verb,communication,0.840,communication
contradiction,noun,communication,0.510,communication
contradictory,adjective,general,0.870,general
contraption,noun,technology,0.980,technology
contrary,adjective,general,0.950,general
contrast,noun,general,0.400,general
contribute,verb,general,0.800,general
contribution,noun,general,0.350,society
contrive,verb,general,0.960,general
control,noun,general,0.830,general
control,verb,general,0.970,general
controversial,adjective,general,0.450,general
controversy,noun,society,0.810,society
convenience,noun,general,0.820,general
convenient,adjective,general,1.000,general
conveniently,adverb,general,1.000,general
convention,noun,society,0.660,society
conventional,adjective,general,0.920,general
conversation,noun,communication,1.000,communication
converse,adjective,general,0.490,general
converse,noun,communication,0.750,communication
conversely,adverb,general,0.960,general
conversion,noun,general,0.470,general
convert,verb,general,0.880,general
convey,verb,communication,0.990,communication
convict,noun,society,1.000,society
convict,verb,society,1.000,society
conviction,noun,feelings,0.770,feelings
convince,verb,communication,0.880,communication
convinced,adjective,feelings,0.980,feelings
convoluted,adjective,general,0.910,general
cook,noun,work,0.590,work
cook,verb,food,1.000,food
cooker,noun,food,0.640,food
cookie,noun,food,1.000,food
cooking,noun,food,1.000,food
cool,adjective,general,0.340,general
cool,verb,general,0.300,general
cooler,noun,home,0.570,home
cooperate,verb,general,0.460,work
cooperation,noun,work,0.580,work
cooperative,adjective,feelings,0.510,feelings
cop,noun,society,0.980,society
cope,verb,feelings,0.560,feelings
copper,noun,general,0.490,nature
copy,noun,general,0.470,communication
copy,verb,general,0.680,general
copyright,noun,society,0.890,society
coral,noun,nature,0.620,nature
cordon,verb,society,0.930,society
core,noun,general,0.700,general
corn,noun,food,0.990,food
corner,noun,city,0.840,city
cornerstone,noun,city,0.700,city
cornet,noun,entertainment,0.710,entertainment
corona,noun,health,0.730,health
corporal,adjective,body,0.780,body
corporate,adjective,business,0.990,business
corporation,noun,business,1.000,business
corps,noun,society,0.850,society
corpse,noun,general,0.420,society
corpus,noun,communication,0.700,communication
correct,adjective,general,0.990,general
correct,verb,general,0.720,general
correction,noun,education,0.640,education
correctly,adverb,general,0.990,general
correctness,noun,communication,0.890,communication
correlate,noun,science,0.600,science
correlate,verb,general,0.490,science
correlation,noun,science,0.940,science
correspond,verb,communication,0.570,communication
correspondence,noun,communication,1.000,communication
correspondent,noun,work,0.690,work
corresponding,adjective,general,0.970,general
corridor,noun,city,0.680,city
corrupt,adjective,society,0.880,society
corruption,noun,society,1.000,society
cosmic,adjective,science,0.810,science
cosset,verb,feelings,0.660,feelings
cost,noun,business,0.940,business
cost,verb,business,0.940,business
cost-effective,adjective,business,0.960,business
costly,adjective,business,0.530,business
costume,noun,shopping,0.560,shopping
cottage,noun,home,0.980,home
cotton,noun,nature,0.510,nature
couch,noun,home,1.000,home
cough,noun,health,0.950,health
cough,verb,health,0.890,health
could,modal auxiliary,general,0.980,general
council,noun,society,0.990,society
counsel,noun,general,0.490,communication
counseling/counselling,noun,health,0.960,health
count,noun,general,0.800,general
count,verb,general,0.990,general
counter,noun,shopping,0.510,shopping
counter,verb,communication,0.810,communication
counterproductive,adjective,general,0.970,general
counterproductively,adverb,general,0.990,general
countless,adjective,general,1.000,general
country,noun,city,0.990,city
countryman,noun,city,0.640,city
countryside,noun,general,0.470,city
countrywide,adjective,general,0.480,city
county,noun,city,0.870,city
couple,noun,family,0.920,family
coupled,adjective,general,0.950,general
courage,noun,feelings,1.000,feelings
courageous,adjective,feelings,1.000,feelings
courgette,noun,food,1.000,food
course,noun,education,0.790,education
court,noun,society,0.980,society
courtesy,noun,feelings,0.650,feelings
cousin,noun,family,1.000,family
cover,noun,general,0.400,home
cover,verb,general,0.930,general
coverage,noun,communication,0.530,communication
cow,noun,animals,1.000,animals
coward,noun,feelings,1.000,feelings
cowardly,adjective,feelings,1.000,feelings
coziness/cosiness,noun,home,0.760,home
cozy/cosy,adjective,home,0.840,home
crab,noun,animals,0.960,animals
crack,noun,general,0.460,general
crack,verb,general,0.550,general
craft,noun,arts,0.840,arts
craft,verb,arts,0.660,arts
craftsman,noun,work,0.980,work
crash,noun,travel,0.860,travel
crash,verb,travel,0.710,travel
crater,noun,nature,0.630,nature
crave,verb,feelings,0.860,feelings
craving,noun,feelings,0.900,feelings
crawl,verb,body,0.960,body
crazy,adjective,feelings,0.910,feelings
cream,adjective,general,0.420,general
cream,noun,food,1.000,food
creamy,adjective,food,0.830,food
crease,noun,general,0.360,shopping
create,verb,general,0.900,general
creation,noun,arts,0.720,arts
creative,adjective,general,0.450,general
creatively,adverb,general,0.800,general
creativity,noun,arts,0.690,arts
creator,noun,arts,0.500,arts
creature,noun,animals,0.980,animals
credential,noun,education,0.650,education
credibility,noun,communication,0.770,communication
credible,adjective,general,0.560,general
credibly,adverb,general,0.670,general
credit,noun,business,0.960,business
credit card,noun,business,0.970,business
creek,noun,nature,1.000,nature
creepy,adjective,feelings,0.960,feelings
crew,noun,work,0.850,work
cricket,noun,sports,0.910,sports
crime,noun,society,1.000,society
criminal,adjective,society,1.000,society
criminal,noun,society,1.000,society
cripple,noun,health,0.870,health
crippling,adjective,health,0.820,health
crisis,noun,society,0.550,society
crisp,noun,food,0.960,food
criteria,noun,general,0.510,general
critic,noun,arts,0.780,arts
critical,adjective,general,0.860,general
critically,adverb,general,0.980,general
criticism,noun,communication,0.810,communication
criticize/criticise,verb,communication,0.650,communication
crocodile,noun,animals,1.000,animals
crony,noun,society,0.710,society
crop,noun,general,0.450,animals
cross,noun,arts,0.840,arts
cross,verb,travel,0.520,travel
crossing,noun,travel,0.630,travel
crossly,adverb,feelings,0.910,feelings
crossroads,noun,travel,0.900,travel
crow,noun,animals,0.990,animals
crowd,noun,general,0.450,city
crowded,adjective,general,0.670,general
crown,noun,society,0.550,society
crucial,adjective,general,1.000,general
crude,adjective,general,0.830,general
crudely,adverb,general,0.840,general
cruel,adjective,feelings,0.990,feelings
cruelly,adverb,feelings,0.520,feelings
cruelty,noun,feelings,0.730,feelings
cruise,noun,travel,1.000,travel
cruise,verb,travel,1.000,travel
crumb,noun,food,1.000,food
crumble,verb,food,0.630,food
crush,noun,feelings,0.720,feelings
cry,noun,feelings,0.730,feelings
cry,verb,feelings,0.830,feelings
crystallization/crystallisation,noun,science,0.980,science
crystallize/crystallise,verb,science,0.620,science
cube,noun,science,0.790,science
cubism,noun,arts,1.000,arts
cucumber,noun,food,0.990,food
cuff,noun,shopping,0.830,shopping
cull,verb,animals,0.770,animals
culmination,noun,general,0.960,general
cultish,adjective,general,0.380,society
cultivate,verb,nature,0.560,nature
cultural,adjective,arts,0.800,arts
culturally,adverb,general,0.510,general
culture,noun,arts,0.940,arts
cup,noun,food,0.660,food
cupboard,noun,home,0.990,home
curate,verb,arts,0.980,arts
curator,noun,arts,0.850,arts
cure,noun,health,1.000,health
cure,verb,health,1.000,health
curiosity,noun,feelings,1.000,feelings
curious,adjective,feelings,0.950,feelings
curiously,adverb,general,0.960,general
curl,noun,body,0.980,body
curly,adjective,body,0.990,body
currency,noun,business,1.000,business
current,adjective,general,0.970,general
currently,adverb,general,1.000,general
curriculum,noun,education,1.000,education
curry,noun,food,1.000,food
curse,noun,communication,0.740,communication
cursor,noun,technology,1.000,technology
curtain,noun,home,1.000,home
curve,noun,general,0.520,general
cushion,noun,home,1.000,home
custom,noun,arts,0.810,arts
customary,adjective,general,0.610,general
customer,noun,shopping,0.730,shopping
customs,noun,general,0.490,arts
cut,noun,general,0.450,general
cut,verb,general,0.770,general
cute,adjective,general,0.660,general
cyberaddict,noun,technology,0.640,technology
cybercafe/cybercafé,noun,technology,0.890,technology
cybercrime,noun,society,0.880,society
cyberpet,noun,technology,0.670,technology
cyberschool,noun,education,0.990,education
cyberspace,noun,technology,1.000,technology
cycle,noun,general,0.370,general
cycle,verb,general,0.760,general
cycling,noun,sports,0.970,sports
cyclist,noun,sports,0.890,sports
cynic,noun,feelings,0.990,feelings
cynical,adjective,feelings,1.000,feelings
cynically,adverb,feelings,0.930,feelings
cynicism,noun,feelings,1.000,feelings
dad,noun,family,1.000,family
daddy,noun,family,1.000,family
daft,adjective,feelings,0.860,feelings
daily,adjective,general,1.000,general
daily,adverb,general,1.000,general
daisy,noun,animals,0.970,animals
dam,noun,nature,0.900,nature
damage,noun,general,0.750,general
damage,verb,general,0.900,general
damaged,adjective,general,0.980,general
damn,adjective,general,0.570,general
damn,adverb,general,0.910,general
damn,interjection,feelings,0.590,feelings
damp,adjective,general,0.490,nature
dampen,verb,general,0.650,general
damply,adverb,general,0.960,general
dance,noun,entertainment,0.630,entertainment
dance,verb,general,0.450,entertainment
dancer,noun,arts,0.550,arts
dancing,noun,entertainment,0.690,entertainment
dandelion,noun,animals,0.940,animals
danger,noun,general,0.610,general
dangerous,adjective,general,0.980,general
dangerously,adverb,general,1.000,general
dare,verb,general,0.600,general
dark,adjective,general,0.960,general
darkness,noun,general,0.420,general
darkroom,noun,general,0.480,arts
darling,adjective,feelings,0.600,feelings
darling,noun,family,0.900,family
dash,noun,general,0.200,general
dash,verb,general,0.490,body
data,noun,technology,0.990,technology
database,noun,technology,1.000,technology
date,noun,general,0.940,general
date,verb,family,0.860,family
dated,adjective,general,0.990,general
dating,noun,family,0.990,family
daughter,noun,family,1.000,family
daughter-in-law,noun,family,1.000,family
daunt,verb,feelings,0.990,feelings
daunting,adjective,feelings,0.740,feelings
dawn,noun,general,0.660,general
day,noun,general,1.000,general
daydream,noun,feelings,0.970,feelings
daydream,verb,feelings,0.910,feelings
daylight,noun,nature,0.650,nature
daytime,noun,general,1.000,general
daze,noun,feelings,0.970,feelings
dazzle,noun,body,0.640,body
de facto,adjective,society,0.840,society
dead,adjective,general,0.840,general
deaden,verb,general,0.740,general
deadline,noun,work,0.780,work
deadly,adjective,general,0.900,general
deaf,adjective,body,0.880,body
deal,noun,business,0.970,business
deal,verb,business,0.800,business
dealer,noun,business,0.680,business
dear,adjective,general,0.470,feelings
dear,noun,family,0.750,family
dearly,adverb,general,0.790,general
death,noun,general,0.330,health
debate,noun,communication,0.950,communication
debit,noun,business,1.000,business
debit,verb,business,1.000,business
debit card,noun,business,0.990,business
debris,noun,nature,0.850,nature
debt,noun,business,1.000,business
debut,noun,entertainment,0.620,entertainment
debut,verb,entertainment,0.640,entertainment
decade,noun,general,1.000,general
decay,verb,general,0.410,general
deceit,noun,feelings,0.580,feelings
deceive,verb,general,0.420,communication
decent,adjective,general,0.760,general
decentralize/decentralise,verb,society,0.980,society
deceptive,adjective,feelings,0.500,feelings
decide,verb,general,0.980,general
decision,noun,general,0.720,general
decisive,adjective,feelings,0.710,feelings
deck,noun,travel,0.970,travel
declaration,noun,communication,0.850,communication
declare,verb,communication,0.970,communication
declination,noun,communication,0.670,communication
decline,noun,general,0.540,general
decline,verb,general,0.790,general
decomposition,noun,science,0.890,science
decorate,verb,home,0.650,home
decoration,noun,home,0.720,home
decorative,adjective,general,0.400,general
decrease,noun,general,0.970,general
decrease,verb,general,0.990,general
dedicate,verb,general,0.580,general
dedication,noun,feelings,0.970,feelings
deduce,verb,general,0.490,general
deduction,noun,education,0.530,education
deed,noun,society,0.710,society
deem,verb,feelings,0.550,feelings
deep,adjective,general,0.990,general
deep,adverb,general,1.000,general
deeply,adverb,general,0.980,general
deer,noun,animals,1.000,animals
defeat,noun,society,0.500,society
defeat,verb,general,0.400,society
defend,verb,general,0.490,society
defender,noun,society,0.570,society
defense/defence,noun,society,0.950,society
deficiency,noun,health,0.610,health
deficient,adjective,general,0.950,general
deficiently,adverb,general,0.970,general
deficit,noun,business,0.980,business
define,verb,communication,0.770,communication
definite,adjective,general,1.000,general
definite article,noun,communication,0.530,communication
definitely,adverb,general,1.000,general
definition,noun,communication,0.840,communication
deforestation,noun,nature,1.000,nature
defy,verb,general,0.410,general
degradation,noun,general,0.310,nature
degrade,verb,general,0.650,general
degrading,adjective,general,0.360,feelings
degree,noun,education,0.860,education
dehumanize/dehumanise,verb,society,0.930,society
delay,noun,general,0.940,general
delay,verb,general,0.990,general
delegate,noun,society,0.930,society
delete,verb,technology,0.910,technology
deliberate,adjective,general,0.680,general
deliberate,verb,general,0.480,general
deliberately,adverb,general,1.000,general
delicacy,noun,food,0.830,food
delicate,adjective,general,0.980,general
delicately,adverb,general,0.990,general
delicatessen,noun,food,0.950,food
delicious,adjective,food,1.000,food
delight,noun,feelings,0.990,feelings
delight,verb,feelings,0.990,feelings
delighted,adjective,feelings,1.000,feelings
delightful,adjective,feelings,0.810,feelings
deliver,verb,general,0.380,general
delivery,noun,shopping,0.630,shopping
demand,noun,business,0.940,business
demand,verb,general,0.360,general
demanding,adjective,general,0.410,feelings
demise,noun,general,0.350,general
demo,noun,technology,0.810,technology
democracy,noun,society,1.000,society
democratic,adjective,society,0.990,society
demographic,adjective,society,0.890,society
demographic,noun,society,0.950,society
demographically,adverb,society,0.700,society
demography,noun,science,0.560,science
demolish,verb,city,0.880,city
demolition,noun,city,0.940,city
demonstrate,verb,general,0.410,general
demonstration,noun,society,0.700,society
demystification,noun,general,0.340,general
demystify,verb,general,0.390,general
denim,noun,shopping,1.000,shopping
denotation,noun,communication,1.000,communication
denote,verb,communication,0.980,communication
denounce,verb,society,0.610,society
dense,adjective,general,0.980,general
densely,adverb,general,0.990,general
dental,adjective,health,0.780,health
dentist,noun,health,0.560,health
denunciation,noun,society,0.570,society
deny,verb,communication,0.760,communication
depart,verb,travel,0.920,travel
department,noun,work,0.670,work
department store,noun,shopping,0.990,shopping
departure,noun,travel,1.000,travel
depend,verb,general,1.000,general
dependable,adjective,feelings,0.740,feelings
dependent,adjective,general,0.860,general
dependent,noun,general,0.490,society
depict,verb,arts,0.640,arts
depiction,noun,arts,0.880,arts
deposit,noun,business,0.990,business
deposit,verb,business,0.990,business
depraved,adjective,feelings,0.870,feelings
depravity,noun,feelings,0.700,feelings
deprecate,verb,general,0.430,communication
deprecatingly,adverb,general,0.350,feelings
depressed,adjective,feelings,0.970,feelings
depressing,adjective,feelings,0.980,feelings
depression,noun,general,0.480,feelings
depressive,adjective,feelings,0.740,feelings
deprivation,noun,society,0.880,society
deprive,verb,general,0.790,general
depth,noun,general,0.780,general
deputy,noun,society,0.790,society
derelict,adjective,general,0.410,city
derelict,noun,society,0.720,society
derision,noun,feelings,0.720,feelings
derisive,adjective,feelings,0.950,feelings
derisively,adverb,general,0.410,communication
derive,verb,general,0.890,general
descend,verb,general,0.520,general
descent,noun,general,0.440,family
describe,verb,communication,0.940,communication
description,noun,communication,0.970,communication
descriptive,adjective,general,0.480,general
desert,noun,nature,1.000,nature
desert,verb,general,0.340,general
desertion,noun,society,0.920,society
deserve,verb,general,0.690,general
design,noun,arts,0.990,arts
design,verb,arts,0.960,arts
designer,adjective,shopping,0.600,shopping
designer,noun,work,0.560,work
desirable,adjective,general,0.970,general
desire,noun,feelings,1.000,feelings
desire,verb,feelings,0.980,feelings
desk,noun,home,0.830,home
desktop,noun,technology,0.970,technology
desolation,noun,feelings,0.870,feelings
despair,noun,feelings,1.000,feelings
desperate,adjective,feelings,1.000,feelings
desperately,adverb,feelings,0.600,feelings
desperation,noun,feelings,1.000,feelings
despise,verb,feelings,1.000,feelings
despite,preposition,general,1.000,general
dessert,noun,food,1.000,food
destination,noun,travel,1.000,travel
destiny,noun,general,0.420,arts
destroy,verb,general,0.940,general
destruction,noun,general,0.470,society
destructive,adjective,general,0.870,general
detach,verb,general,0.860,general
detachment,noun,feelings,0.980,feelings
detail,noun,general,0.810,general
detailed,adjective,general,0.970,general
detect,verb,general,0.560,general
detective,noun,society,0.680,society
determination,noun,feelings,1.000,feelings
determine,verb,general,0.990,general
determined,adjective,feelings,0.990,feelings
determiner,noun,communication,0.750,communication
deterrent,noun,society,0.990,society
detest,verb,feelings,1.000,feelings
detestable,adjective,feelings,0.910,feelings
detract,verb,general,0.660,general
detriment,noun,general,0.950,general
detrimental,adjective,general,0.970,general
detrimentally,adverb,general,0.990,general
detritus,noun,nature,0.780,nature
devastate,verb,general,0.320,general
devastating,adjective,general,0.750,general
develop,verb,general,0.980,general
developed,adjective,general,0.540,general
developing,adjective,general,0.740,general
development,noun,general,0.730,general
deviant,adjective,society,0.900,society
deviant,noun,society,0.990,society
deviantly,adverb,general,0.490,society
device,noun,technology,0.990,technology
devil,noun,arts,0.920,arts
devote,verb,feelings,0.550,feelings
devoted,adjective,feelings,0.980,feelings
devotee,noun,arts,0.720,arts
devotion,noun,feelings,0.940,feelings
diagram,noun,education,0.550,education
dial,noun,general,0.480,technology
dial,verb,communication,0.990,communication
dialog/dialogue,noun,communication,1.000,communication
diameter,noun,science,0.750,science
diamond,noun,shopping,0.730,shopping
diaper,noun,family,0.840,family
diarrhea/diarrhoea,noun,health,1.000,health
diary,noun,communication,0.700,communication
dictator,noun,society,1.000,society
dictionary,noun,education,0.660,education
did,do-verb,general,1.000,general
die,verb,general,0.380,general
diet,noun,food,0.670,food
differ,verb,general,0.740,general
difference,noun,general,0.950,general
different,adjective,general,1.000,general
differently,adverb,general,1.000,general
difficult,adjective,general,1.000,general
difficulty,noun,general,0.810,general
diffuse,adjective,general,0.930,general
diffuse,verb,general,0.860,general
dig,noun,general,0.250,nature
dig,verb,general,0.420,body
digest,noun,general,0.430,communication
digital,adjective,technology,0.990,technology
digital camera,noun,technology,1.000,technology
digitalization/digitalisation,noun,technology,1.000,technology
digitalize/digitalise,verb,technology,1.000,technology
dignify,verb,general,0.490,feelings
dignity,noun,feelings,0.910,feelings
dilemma,noun,feelings,0.560,feelings
diligence,noun,feelings,0.840,feelings
diligent,adjective,feelings,0.900,feelings
diligently,adverb,general,0.690,general
dim,adjective,general,0.960,general
dime,noun,business,0.990,business
dimension,noun,general,0.560,general
diminish,verb,general,0.990,general
dining room,noun,home,1.000,home
dinner,noun,food,1.000,food
dinosaur,noun,animals,0.980,animals
dioxide,noun,science,0.970,science
dip,verb,food,0.710,food
diphtheria,noun,health,1.000,health
diploma,noun,education,1.000,education
diplomat,noun,society,0.890,society
direct,adjective,general,0.890,general
direct,verb,general,0.630,general
direction,noun,travel,0.990,travel
directly,adverb,general,1.000,general
director,noun,work,0.920,work
dirt,noun,nature,0.870,nature
dirty,adjective,general,0.850,general
disability,noun,health,0.800,health
disable,verb,general,0.350,technology
disabled,adjective,health,0.790,health
disadvantage,noun,general,0.940,general
disagree,verb,communication,0.670,communication
disagreement,noun,communication,0.750,communication
disappear,verb,general,0.960,general
disappearance,noun,general,0.470,society
disappoint,verb,feelings,0.980,feelings
disappointed,adjective,feelings,1.000,feelings
disappointing,adjective,feelings,0.720,feelings
disappointment,noun,feelings,1.000,feelings
disapproval,noun,feelings,1.000,feelings
disapprove,verb,feelings,0.960,feelings
disaster,noun,nature,0.690,nature
disastrous,adjective,general,0.910,general
disc jockey/disk jockey,noun,entertainment,0.910,entertainment
discard,verb,general,0.970,general
discharge,noun,general,0.460,health
disciple,noun,arts,0.570,arts
discipline,noun,education,0.570,education
disco,noun,entertainment,0.970,entertainment
discomfort,noun,feelings,0.780,feelings
disconnect,verb,communication,0.650,communication
discount,noun,general,0.490,shopping
discourage,verb,feelings,0.780,feelings
discourse,noun,communication,1.000,communication
discover,verb,general,0.930,general
discovery,noun,science,0.540,science
discredit,verb,society,0.500,society
discriminate,verb,society,0.930,society
discrimination,noun,society,1.000,society
discuss,verb,communication,0.990,communication
discussion,noun,communication,1.000,communication
disdain,noun,feelings,1.000,feelings
disdainful,adjective,feelings,1.000,feelings
disease,noun,health,1.000,health
disgrace,noun,feelings,0.530,feelings
disguise,noun,general,0.380,body
disguise,verb,general,0.440,body
disgusting,adjective,feelings,0.750,feelings
dish,noun,food,0.910,food
dishonest,adjective,feelings,0.940,feelings
dishonesty,noun,feelings,0.880,feelings
dishwasher,noun,home,0.990,home
disillusion,verb,feelings,1.000,feelings
disillusionment,noun,feelings,1.000,feelings
disk/disc,noun,technology,0.960,technology
dislike,noun,feelings,1.000,feelings
dislike,verb,feelings,0.990,feelings
dislodge,verb,general,0.540,general
dismal,adjective,feelings,0.710,feelings
dismally,adverb,general,0.660,general
dismay,noun,feelings,1.000,feelings
dismay,verb,feelings,0.990,feelings
dismiss,verb,work,0.850,work
disorder,noun,health,0.640,health
disorderly,adjective,general,0.610,general
disorganized/disorganised,adjective,general,0.540,general
disparage,verb,communication,0.830,communication
disparagement,noun,communication,0.850,communication
disparaging,adjective,feelings,0.570,feelings
disparagingly,adverb,communication,0.540,communication
dispensable,adjective,general,0.990,general
dispensary,noun,health,0.990,health
dispense,verb,general,0.550,general
dispersal,noun,general,0.270,nature
disperse,verb,general,0.700,general
displace,verb,general,0.780,general
display,noun,general,0.240,technology
display,verb,general,0.540,general
displeasure,noun,feelings,1.000,feelings
disposal,noun,general,0.300,home
disposition,noun,feelings,0.990,feelings
dispute,noun,society,0.570,society
disqualify,verb,sports,0.550,sports
disquieting,adjective,feelings,0.960,feelings
disregard,noun,feelings,0.920,feelings
disrupt,verb,general,0.830,general
dissatisfaction,noun,feelings,1.000,feelings
dissatisfied,adjective,feelings,1.000,feelings
dissect,verb,science,0.840,science
dissection,noun,science,0.900,science
dissemble,verb,communication,0.830,communication
disseminate,verb,communication,0.990,communication
dissemination,noun,communication,0.990,communication
dissension,noun,society,0.880,society
dissident,noun,society,1.000,society
dissolve,verb,science,0.700,science
distance,noun,general,0.570,general
distant,adjective,general,0.950,general
distill,verb,science,0.860,science
distillation,noun,science,0.990,science
distinction,noun,general,0.710,general
distinctly,adverb,general,0.990,general
distinguish,verb,general,0.880,general
distinguished,adjective,general,0.750,general
distortion,noun,general,0.480,communication
distract,verb,general,0.840,general
distraction,noun,general,0.470,feelings
distressing,adjective,feelings,0.980,feelings
distribute,verb,general,0.800,general
distribution,noun,business,0.950,business
distributor,noun,business,0.950,business
district,noun,city,0.990,city
disturb,verb,general,0.950,general
disturbance,noun,general,0.480,general
dither,verb,feelings,0.810,feelings
dive,noun,sports,0.740,sports
dive,verb,sports,0.610,sports
diver,noun,sports,0.640,sports
diverge,verb,general,0.880,general
divergence,noun,general,0.640,general
divergent,adjective,general,0.970,general
diverse,adjective,general,0.960,general
diversion,noun,general,0.450,entertainment
diversity,noun,society,0.960,society
divert,verb,general,0.630,general
divide,noun,general,0.380,general
divide,verb,general,0.910,general
divided,adjective,general,0.700,general
divination,noun,arts,0.990,arts
divine,adjective,arts,0.560,arts
diving,noun,sports,0.960,sports
division,noun,general,0.230,general
divorce,noun,family,0.980,family
divorce,verb,family,0.980,family
divorced,adjective,family,1.000,family
dizzy,adjective,general,0.380,health
do,do-verb,general,1.000,general
doc,noun,health,0.940,health
docile,adjective,feelings,0.960,feelings
docilely,adverb,general,0.480,feelings
dock,noun,travel,0.570,travel
doctor/Dr./Dr,noun,health,0.900,health
document,noun,communication,0.520,communication
documentary,noun,entertainment,0.990,entertainment
does,do-verb,general,1.000,general
dog,noun,animals,1.000,animals
doing,do-verb,general,1.000,general
dole out,verb,general,0.580,general
doll,noun,entertainment,0.800,entertainment
dollar,noun,business,0.990,business
dolphin,noun,animals,1.000,animals
domestic,adjective,home,0.970,home
domestically,adverb,general,0.460,society
domesticate,verb,animals,0.990,animals
domestication,noun,animals,0.940,animals
domesticity,noun,home,0.920,home
dominant,adjective,general,0.810,general
dominantly,adverb,general,1.000,general
dominate,verb,general,0.780,general
domination,noun,society,0.980,society
donate,verb,society,0.590,society
donation,noun,society,0.630,society
done,do-verb,general,0.980,general
donkey,noun,animals,1.000,animals
doom,noun,feelings,0.640,feelings
door,noun,home,0.990,home
doorkeeper,noun,work,0.950,work
doorway,noun,home,0.960,home
dorm,noun,education,0.900,education
dormitory,noun,education,0.620,education
dose,noun,health,1.000,health
dot,noun,general,0.720,general
double,adjective,general,1.000,general
double,noun,general,0.870,general
double,verb,general,0.990,general
doubly,adverb,general,1.000,general
doubt,noun,feelings,0.990,feelings
doubt,verb,feelings,0.790,feelings
doubtful,adjective,feelings,0.790,feelings
dove,noun,animals,1.000,animals
down,adjective,general,0.630,general
down,adverb,general,0.990,general
down,preposition,general,1.000,general
downfall,noun,society,0.710,society
download,noun,technology,1.000,technology
download,verb,technology,1.000,technology
downsize,verb,business,0.680,business
downstairs,adjective,home,0.960,home
downstairs,adverb,home,0.840,home
downtown,adverb,city,0.950,city
downward,adjective,general,0.960,general
dowry,noun,family,0.990,family
doze,noun,body,0.780,body
dozen,determiner,general,1.000,general
dozen,noun,general,1.000,general
drabness,noun,feelings,0.500,feelings
draft/draught,noun,general,0.350,communication
drag,verb,body,0.750,body
drain,noun,home,0.690,home
drain,verb,general,0.410,home
drama,noun,arts,0.910,arts
dramatic,adjective,general,0.760,general
dramatically,adverb,general,1.000,general
dramatist,noun,arts,0.980,arts
drapery,noun,home,0.980,home
draw,noun,arts,0.570,arts
draw,verb,arts,0.570,arts
drawback,noun,general,0.890,general
drawer,noun,home,1.000,home
drawing,noun,arts,1.000,arts
dread,verb,feelings,1.000,feelings
dreadful,adjective,feelings,0.570,feelings
dream,noun,feelings,0.720,feelings
dream,verb,feelings,0.540,feelings
dreamy,adjective,feelings,0.980,feelings
dress,noun,shopping,1.000,shopping
dress,verb,shopping,0.750,shopping
dressed,adjective,shopping,0.830,shopping
dribble,noun,body,0.520,body
dribble,verb,sports,0.550,sports
drill,noun,general,0.370,technology
drill,verb,education,0.910,education
drink,noun,food,1.000,food
drink,verb,food,0.980,food
drinkable,adjective,food,0.960,food
drive,noun,travel,0.880,travel
drive,verb,travel,0.970,travel
driver,noun,travel,0.600,travel
driver's license/driving licence,noun,travel,0.900,travel
droop,noun,body,0.890,body
drop,noun,general,0.540,general
drop,verb,general,0.770,general
dropout,noun,education,1.000,education
drought,noun,nature,1.000,nature
drown,verb,nature,0.500,nature
drudgery,noun,work,1.000,work
drug,noun,health,0.990,health
drugstore,noun,shopping,0.600,shopping
drum,noun,entertainment,0.890,entertainment
drunk,adjective,general,0.450,feelings
dry,adjective,general,0.800,general
